domain,url,doc_type,title,slot,pillars
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/minerals-mining-processing/minerals-beneficiation-product-comparison-table.html,certificate,minerals beneficiation product comparison table,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-coal-minerals-learning-center.html,certificate,cement coal minerals learning center,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-coal-minerals-learning-center/cement-coal-minerals-resource-library.html,certificate,cement coal minerals resource library,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-coal-minerals-learning-center/mining-lab-data-information.html,certificate,mining lab data information,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-coal-minerals-learning-center/mine-safety-information.html,certificate,mine safety information,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-coal-minerals-learning-center/cement-analysis-production-information.html,certificate,cement analysis production information,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-coal-minerals-learning-center/cement-analysis-production-information/pgnaa-pftna-technology.html,certificate,pgnaa pftna technology,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-coal-minerals-learning-center/cement-analysis-production-information/pgnaa-pftna-technology/technology.html,certificate,technology,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-coal-minerals-learning-center/cement-analysis-production-information/pgnaa-pftna-technology/faqs.html,certificate,faqs,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-coal-minerals-learning-center/cement-analysis-production-information/pgnaa-pftna-technology/resources.html,certificate,resources,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-coal-minerals-learning-center/mineral-processing-information.html,certificate,mineral processing information,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-coal-minerals-services.html,certificate,cement coal minerals services,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/coal-fired-power-plant-generation.html,certificate,coal fired power plant generation,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/coal-fired-power-plant-generation/technologies.html,certificate,technologies,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/coal-fired-power-plant-generation/solutions.html,certificate,solutions,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/coal-fired-power-plant-generation/services.html,certificate,services,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/coal-fired-power-plant-generation/resources.html,certificate,resources,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/copper-other-base-metals.html,certificate,copper other base metals,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/mining-minerals.html,certificate,mining minerals,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/mining-minerals/technologies.html,certificate,technologies,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/mining-minerals/solutions.html,certificate,solutions,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/mining-minerals/solutions/minerals-beneficiation-product-comparison.html,certificate,minerals beneficiation product comparison,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/mining-minerals/solutions/belt-scale-selection-guide.html,certificate,belt scale selection guide,GDTI,P5
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/mining-minerals/solutions/slurry-sampling-elemental-analysis.html,certificate,slurry sampling elemental analysis,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/mining-minerals/services.html,certificate,services,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/mining-minerals/resources.html,certificate,resources,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/bulk-weighing-monitoring-sampling-services.html,certificate,bulk weighing monitoring sampling services,GDTI,P4
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/online-analyzers.html,certificate,online analyzers,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/online-analyzers/solutions.html,certificate,solutions,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/online-analyzers/solutions/cb-omni-agile.html,certificate,cb omni agile,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/online-analyzers/techniques.html,certificate,techniques,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/online-analyzers/applications.html,certificate,applications,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/online-analyzers/services.html,certificate,services,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/online-analyzers/resources.html,certificate,resources,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/clinical/diagnostic-testing/point-of-care/accula-rapid-pcr-system/pcr-detection-whitepaper.html,application-note,pcr detection whitepaper,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/clinical/diagnostic-testing/brahms/eIFUs.html,manual,eIFUs,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/clinical/clinical-genomics/pathogen-detection-solutions/covid-19-sars-cov-2/instructions-for-use.html,manual,instructions for use,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/clinical/cell-gene-therapy/cell-therapy/cell-therapy-manufacturing-solutions/rotea-counterflow-centrifugation-system.html,manual,rotea counterflow centrifugation system,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/clinical/cell-gene-therapy/cell-therapy/cell-therapy-manufacturing-solutions/rotea-counterflow-centrifugation-system/features.html,manual,features,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/clinical/cell-gene-therapy/cell-therapy/cell-therapy-manufacturing-solutions/rotea-counterflow-centrifugation-system/specifications.html,manual,specifications,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/clinical/cell-gene-therapy/cell-therapy/cell-therapy-manufacturing-solutions/rotea-counterflow-centrifugation-system/accessories.html,manual,accessories,GDTI,P3|P5
www.thermofisher.com,https://www.thermofisher.com/us/en/home/clinical/cell-gene-therapy/cell-therapy/cell-therapy-manufacturing-solutions/rotea-counterflow-centrifugation-system/software.html,manual,software,GDTI,P2|P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/clinical/cell-gene-therapy/cell-therapy/cell-therapy-manufacturing-solutions/rotea-counterflow-centrifugation-system/sample-data.html,manual,sample data,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/clinical/cell-gene-therapy/cell-therapy/cell-therapy-manufacturing-solutions/rotea-counterflow-centrifugation-system/services.html,manual,services,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/clinical/cell-gene-therapy/cell-therapy/cell-therapy-manufacturing-solutions/rotea-counterflow-centrifugation-system/resources.html,manual,resources,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/clinical/cell-gene-therapy/cell-therapy/cell-therapy-manufacturing-solutions/xenon-electroporation-system/specifications.html,datasheet,specifications,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/clinical/cell-gene-therapy/cell-therapy/cell-therapy-manufacturing-solutions/compleo-fill-finish-system/specifications.html,datasheet,specifications,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/global/forms/industrial/beverage-spoilage-app-note.html,application-note,beverage spoilage app note,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/global/forms/industrial/ccs-whitepaper-new-sterile-environments.html,application-note,ccs whitepaper new sterile environments,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/about-us/events/industrial/mmg-metrology-electrode-coating-lines-sensors-webcast-registration/thank-you.html,certificate,thank you,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/about-us/events/industrial/mmg-online-sensor-characteristics-coating-edge-defect-detection-webcast-registration/thank-you.html,certificate,thank you,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/about-us/events/industrial/ppa-detecting-electrode-coating-failures-webcast-registration/thank-you.html,certificate,thank you,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/about-us/events/industrial/ppa-advancements-in-line-electrode-coating-metrology-webcast-registration/thank-you.html,certificate,thank you,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/about-us/events/industrial/west-coast-users-meetings.html,certificate,west coast users meetings,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/about-us/events/industrial/gulf-coast-conference.html,certificate,gulf coast conference,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/about-us/news-gallery/press-releases/2015/collaborative-training-program-to-prevent-spread-ebola-virus-ivory-coast.html,certificate,collaborative training program to prevent spread ebola virus ivory coast,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/about-us/corporate-social-responsibility/operational-integrity.html,manual,operational integrity,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/about-us/corporate-social-responsibility/operational-integrity/ehs-management.html,manual,ehs management,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/about-us/corporate-social-responsibility/operational-integrity/global-supply-chain.html,manual,global supply chain,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/about-us/corporate-social-responsibility/operational-integrity/governance-ethics.html,manual,governance ethics,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/about-us/corporate-social-responsibility/operational-integrity/quality-management.html,manual,quality management,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/sequencing/next-generation-sequencing/ion-torrent-next-generation-sequencing-workflow/ion-torrent-next-generation-sequencing-run-sequence/ion-proton-system-for-next-generation-sequencing/ion-proton-system-specifications.html,datasheet,ion proton system specifications,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/sequencing/next-generation-sequencing/ngs-library-preparation-illumina-systems/collibri-applications/viral-surveillance/protocol-sars-cov-2.html,application-note,protocol sars cov,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/pcr/real-time-pcr/real-time-pcr-learning-center/real-time-pcr-basics/real-time-pcr-troubleshooting-tool/snp-genotyping-troubleshooting/trailing-clusters/samples-not-centrifuged-properly.html,manual,samples not centrifuged properly,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-equipment-learning-center/lab-equipment-resource-library/manuals-by-product-type.html,manual,manuals by product type,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-equipment-learning-center/centrifuges.html,manual,centrifuges,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-equipment-learning-center/centrifuges/centrifuge-applications.html,manual,centrifuge applications,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-equipment-learning-center/centrifuges/centrifuge-best-practices.html,manual,centrifuge best practices,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-equipment-learning-center/centrifuges/centrifuge-articles.html,manual,centrifuge articles,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges.html,manual,lab centrifuges,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/features.html,manual,features,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/models.html,manual,models,GDTI,P1|P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/models/compact-centrifuges.html,manual,compact centrifuges,GDTI,P1|P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/models/gp-standard-centrifuges.html,manual,gp standard centrifuges,GDTI,P1|P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/models/microcentrifuges.html,manual,microcentrifuges,GDTI,P1|P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/models/mini-centrifuges.html,manual,mini centrifuges,GDTI,P1|P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/models/ultracentrifuges.html,manual,ultracentrifuges,GDTI,P1|P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/3d-tour-gallery.html,manual,3d tour gallery,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/rotors.html,manual,rotors,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/accessories.html,manual,accessories,GDTI,P3|P5
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/software.html,manual,software,GDTI,P2|P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/greencool.html,manual,greencool,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/resources.html,manual,resources,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/centrifuges-bioprocessing.html,manual,centrifuges bioprocessing,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/clinical-centrifuges.html,manual,clinical centrifuges,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-equipment/lab-centrifuges/gp-pro-centrifuges.html,manual,gp pro centrifuges,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-plasticware-supplies/lab-plasticware-supplies-learning-center/lab-plasticware-supplies-resource-library/laboratory-consumables-technical-application-notes-library.html,application-note,laboratory consumables technical application notes library,GDTI,P3|P5
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-plasticware-supplies/pipettes-pipette-tips/my-pipette-creator/protocol-library.html,application-note,protocol library,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-plasticware-supplies/tubes-vials/microcentrifuge-tubes.html,manual,microcentrifuge tubes,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-plasticware-supplies/tubes-vials/microcentrifuge-tubes/mct-selector-tool.html,manual,mct selector tool,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-plasticware-supplies/tubes-vials/microcentrifuge-tubes/low-dna-binding-snap-cap.html,manual,low dna binding snap cap,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/lab-plasticware-supplies/nalgene-nunc-centrifuge-ware.html,manual,nalgene nunc centrifuge ware,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/dna-rna-purification-analysis/nucleic-acid-gel-electrophoresis/dna-electrophoresis/agarose-gel-electrophoreis/agarose-gel-electrophoresis-protocols-e-gel-ex-agarose-gel-and-ultrapure-agarose.html,application-note,agarose gel electrophoresis protocols e gel ex agarose gel and ultrapure agarose,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/dna-rna-purification-analysis/protocol-videos.html,application-note,protocol videos,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/dna-rna-purification-analysis/nucleic-acid-isolation-application-notes.html,application-note,nucleic acid isolation application notes,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/rnai/introduction-to-in-vivo-rnai/in-vivo-rnai-protocols.html,application-note,in vivo rnai protocols,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/cell-analysis/flow-cytometry/flow-cytometers/bigfoot-spectral-cell-sorter/specifications.html,datasheet,specifications,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/cell-analysis/flow-cytometry/flow-cytometry-learning-center/flow-cytometry-resource-library/flow-cytometry-application-notes.html,application-note,flow cytometry application notes,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/cell-analysis/flow-cytometry/flow-cytometry-learning-center/flow-cytometry-resource-library/flow-cytometry-application-notes/detection-murine-regulatory-t-cells-attune-nxt-flow-cytometer.html,application-note,detection murine regulatory t cells attune nxt flow cytometer,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/cell-analysis/flow-cytometry/flow-cytometry-learning-center/flow-cytometry-resource-library/flow-cytometry-application-notes/multiparameter-analysis-murine-regulatory-t-cells-dendritic-cells-attune-nxt-flow-cytometer.html,application-note,multiparameter analysis murine regulatory t cells dendritic cells attune nxt flow cytometer,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/cell-analysis/flow-cytometry/flow-cytometry-learning-center/flow-cytometry-resource-library/flow-cytometry-application-notes/6-color-immunophenotyping-human-whole-blood-no-lyse-no-wash-no-compensation-protocol-attune-nxt-flow-cytometer.html,application-note,6 color immunophenotyping human whole blood no lyse no wash no compensation protocol attune nxt flow cytometer,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/cell-analysis/flow-cytometry/flow-cytometry-learning-center/flow-cytometry-resource-library/flow-cytometry-application-notes/multiparameter-immunophenotyping-human-whole-blood.html,application-note,multiparameter immunophenotyping human whole blood,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/cell-analysis/flow-cytometry/flow-cytometry-learning-center/flow-cytometry-resource-library/flow-cytometry-application-notes/flow-cytometry-multiplexing-used-analyze-metabolic-activity-assess-pharmaceutical-compound-toxicity-as-high-throughput-screening-tool.html,application-note,flow cytometry multiplexing used analyze metabolic activity assess pharmaceutical compound toxicity as high throughput screening tool,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/cell-analysis/flow-cytometry/flow-cytometry-learning-center/flow-cytometry-resource-library/flow-cytometry-application-notes/copper-safe-click-it-plus-edu-proliferation-assay.html,application-note,copper safe click it plus edu proliferation assay,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/cell-analysis/flow-cytometry/flow-cytometry-learning-center/flow-cytometry-resource-library/flow-cytometry-application-notes/multiparameter-immunophenotyping-human-lysed-whole-blood-attune-nxt-flow-cytometer-b-cells-nk-cells-t-cells-myeloid-cells.html,application-note,multiparameter immunophenotyping human lysed whole blood attune nxt flow cytometer b cells nk cells t cells myeloid cells,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/cell-analysis/flow-cytometry/flow-cytometry-learning-center/flow-cytometry-resource-library/flow-cytometry-application-notes/no-wash-no-lyse-detection-leukocytes-human-whole-blood-attune-nxt-flow-cytometer.html,application-note,no wash no lyse detection leukocytes human whole blood attune nxt flow cytometer,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/life-science/cell-analysis/flow-cytometry/flow-cytometry-learning-center/flow-cytometry-resource-library/flow-cytometry-application-notes/no-wash-no-lyse-detection-phagocytic-cells-phrodo-bioparticles-functional-assay-human-whole-blood-attune-nxt-flow-cytometer.html,application-note,no wash no lyse detection phagocytic cells phrodo bioparticles functional assay human whole blood attune nxt flow cytometer,GDTI,P3
